company,job_category,gender,count
PayPal,laborers and helpers,male,0
PayPal,operatives,female,0
PayPal,operatives,male,0
Pinterest,Administrative support,female,22
Pinterest,Administrative support,male,9
Pinterest,Craft workers,female,0
Pinterest,Craft workers,male,0
Pinterest,Executives,female,1
Pinterest,Executives,male,7
Pinterest,Managers,female,17
Pinterest,Managers,male,23
Pinterest,Previous_totals,female,244
Pinterest,Previous_totals,male,343
Pinterest,Professionals,female,316
Pinterest,Professionals,male,458
Pinterest,Sales workers,female,51
Pinterest,Sales workers,male,40
Pinterest,Service workers,female,0
Pinterest,Service workers,male,0
Pinterest,Technicians,female,0
Pinterest,Technicians,male,0
Pinterest,Totals,female,407
Pinterest,Totals,male,537
Pinterest,laborers and helpers,female,0
Pinterest,laborers and helpers,male,0
Pinterest,operatives,female,0
Pinterest,operatives,male,0
Salesforce,Administrative support,female,328
Salesforce,Administrative support,male,87
Salesforce,Craft workers,female,0
Salesforce,Craft workers,male,0
Salesforce,Executives,female,58
Salesforce,Executives,male,179
Salesforce,Managers,female,807
Salesforce,Managers,male,1795
Salesforce,Previous_totals,female,3795
Salesforce,Previous_totals,male,8174
Salesforce,Professionals,female,2597
Salesforce,Professionals,male,5522
Salesforce,Sales workers,female,907
Salesforce,Sales workers,male,2436
Salesforce,Service workers,female,0
Salesforce,Service workers,male,0
Salesforce,Technicians,female,0
Salesforce,Technicians,male,0
Salesforce,Totals,female,4697
Salesforce,Totals,male,10019
Salesforce,laborers and helpers,female,0
Salesforce,laborers and helpers,male,0
Salesforce,operatives,female,0
Salesforce,operatives,male,0
Sanmina,Administrative support,female,427
Sanmina,Administrative support,male,254
Sanmina,Craft workers,female,1
Sanmina,Craft workers,male,160
Sanmina,Executives,female,10
Sanmina,Executives,male,112
Sanmina,Managers,female,169
Sanmina,Managers,male,422
Sanmina,Previous_totals,female,2216
Sanmina,Previous_totals,male,3399
Sanmina,Professionals,female,386
Sanmina,Professionals,male,746
Sanmina,Sales workers,female,20
Sanmina,Sales workers,male,69
Sanmina,Service workers,female,9
Sanmina,Service workers,male,48
Sanmina,Technicians,female,148
Sanmina,Technicians,male,560
Sanmina,Totals,female,2032
Sanmina,Totals,male,3173
Sanmina,laborers and helpers,female,1
Sanmina,laborers and helpers,male,3
Sanmina,operatives,female,861
Sanmina,operatives,male,799
Square,Administrative support,female,151
Square,Administrative support,male,183
Square,Craft workers,female,0
Square,Craft workers,male,0
Square,Executives,female,4
Square,Executives,male,7
Square,Managers,female,83
Square,Managers,male,173
Square,Previous_totals,female,0
Square,Previous_totals,male,0
Square,Professionals,female,281
Square,Professionals,male,661
Square,Sales workers,female,54
Square,Sales workers,male,52
Square,Service workers,female,19
Square,Service workers,male,43
Square,Technicians,female,0
Square,Technicians,male,0
Square,Totals,female,592
Square,Totals,male,1119
Square,laborers and helpers,female,0
Square,laborers and helpers,male,0
Square,operatives,female,0
Square,operatives,male,0
Twitter,Administrative support,female,120
Twitter,Administrative support,male,60
Twitter,Craft workers,female,0
Twitter,Craft workers,male,0
Twitter,Executives,female,13
Twitter,Executives,male,34
Twitter,Managers,female,142
Twitter,Managers,male,257
Twitter,Previous_totals,female,1091
Twitter,Previous_totals,male,2242
Twitter,Professionals,female,620
Twitter,Professionals,male,1428
Twitter,Sales workers,female,149
Twitter,Sales workers,male,113
Twitter,Service workers,female,0
Twitter,Service workers,male,0
Twitter,Technicians,female,0
Twitter,Technicians,male,16
Twitter,Totals,female,1044
Twitter,Totals,male,1908
Twitter,laborers and helpers,female,0
Twitter,laborers and helpers,male,0
Twitter,operatives,female,0
Twitter,operatives,male,0
Uber,Administrative support,female,356
Uber,Administrative support,male,369
Uber,Craft workers,female,0
Uber,Craft workers,male,0
Uber,Executives,female,37
Uber,Executives,male,101
Uber,Managers,female,232
Uber,Managers,male,619
Uber,Previous_totals,female,0
Uber,Previous_totals,male,0
Uber,Professionals,female,1105
Uber,Professionals,male,3004
Uber,Sales workers,female,3
Uber,Sales workers,male,1
Uber,Service workers,female,0
Uber,Service workers,male,0
Uber,Technicians,female,2
Uber,Technicians,male,35
Uber,Totals,female,1736
Uber,Totals,male,4149
Uber,laborers and helpers,female,0
Uber,laborers and helpers,male,0
Uber,operatives,female,1
Uber,operatives,male,20
View,Administrative support,female,3
View,Administrative support,male,3
View,Craft workers,female,0
View,Craft workers,male,18
View,Executives,female,3
View,Executives,male,31
View,Managers,female,5
View,Managers,male,34
View,Previous_totals,female,56
View,Previous_totals,male,296
View,Professionals,female,29
View,Professionals,male,100
View,Sales workers,female,15
View,Sales workers,male,37
View,Service workers,female,0
View,Service workers,male,0
View,Technicians,female,5
View,Technicians,male,22
View,Totals,female,78
View,Totals,male,382
View,laborers and helpers,female,0
View,laborers and helpers,male,0
View,operatives,female,18
View,operatives,male,137
eBay,Administrative support,female,740
eBay,Administrative support,male,782
eBay,Craft workers,female,0
eBay,Craft workers,male,0
eBay,Executives,female,22
eBay,Executives,male,48
eBay,Managers,female,597
eBay,Managers,male,957
eBay,Previous_totals,female,4688
eBay,Previous_totals,male,6172
eBay,Professionals,female,1004
eBay,Professionals,male,2418
eBay,Sales workers,female,10
eBay,Sales workers,male,31
eBay,Service workers,female,0
eBay,Service workers,male,0
eBay,Technicians,female,0
eBay,Technicians,male,2
eBay,Totals,female,2373
eBay,Totals,male,4238
eBay,laborers and helpers,female,0
eBay,laborers and helpers,male,0
eBay,operatives,female,0
eBay,operatives,male,0
